Feature,KS,is_rosetta,topology,P-value
score_per_res,0.15699006272019211,True,HEEH,0.006312392748665241
fa_elec,0.15582531401375269,True,HHH,1.9417800700693988e-13
hbond_sr_bb_per_helix,0.1543759534797623,True,EHEE,8.823941577418282e-12
chymo_cut_sites,0.1542253187354851,True,HEEH,0.007711843601034385
helix_sc,0.15421902434441814,True,HHH,3.5704772471945034e-13
net_atr_net_sol_per_res,0.1532616079751015,True,HEEH,0.008262357372129325
sum_best_frags,0.15285084601165932,True,HEEH,0.00850765861987468
helix_sc,0.1526195293932411,True,EHEE,1.5965118116412214e-11
contig_not_hp_max,0.15123939523200153,True,HEEH,0.009535078545006681
avg_best_frag,0.1503862742310062,True,HEEH,0.01012331123004695
buried_minus_exposed,0.15029819846847478,True,EHEE,3.457834019116035e-11
fa_intra_sol_xover4,0.15015440870765803,True,EEHEE,1.693060618146888e-10
fa_rep_per_res,0.14477029898298502,True,EEHEE,8.670702058466975e-10
exposed_hydrophobics,0.14421279236390533,True,HHH,1.4194090347530164e-11
L_min_entropy,0.14325285566283266,False,HHH,1.9985790800092218e-11
netcharge,0.14281877498143672,True,HEEH,0.01696056172870508
T1_absq,0.14231206196209853,True,EEHEE,1.7919510031788507e-09
H_range_entropy,0.14123190505587543,False,EEHEE,2.4555575034443203e-09
fa_intra_elec,0.14114413005355705,True,HEEH,0.0189434641281363
exposed_total,0.13859607107368688,True,HHH,1.0098666347602148e-10
hphob_sc_degree,0.138142408013018,True,HEEH,0.0230199484753959
nearest_chymo_cut_to_Nterm,0.1371786972526344,True,HEEH,0.024484511740609727
contig_not_hp_avg_norm,0.13690906997945165,True,HHH,1.7949075559187122e-10
fa_dun_semi,0.1359148142881969,True,HEEH,0.026529929498328997
loop_sc,0.13584557202367675,True,EEHEE,1.1399325742060547e-08
nearest_chymo_cut_to_Nterm,0.13559093936241062,True,EHEE,3.5024523281634856e-09
netcharge,0.1355505128843441,True,EHEE,3.5453902036408635e-09
ss_sc,0.13418075919018654,True,HHH,4.4686587763465013e-10
Tminus1_absq,0.13374875459625102,True,HHH,5.155197380091181e-10
SumL_entropies,0.1332922571369891,False,HEEH,0.03126107303729375
hxl_tors,0.13300788346999068,True,HEEH,0.031816164438909555
abego_res_profile_penalty,0.1322145402829974,True,EEHEE,3.102464761236056e-08
nearest_chymo_cut_to_term,0.13138635822968397,True,EEHEE,3.883599926277328e-08
p_aa_pp,0.13101726780100162,True,HEEH,0.03594977389099163
hbond_lr_bb,0.13000616142945162,True,HEEH,0.03822379151675381
H_range_entropy,0.12966899225301018,False,EHEE,1.9633234260574284e-08
holes,0.12931102579901102,True,HEEH,0.039859043533378546
avg_all_frags,0.12913653298268682,True,EHEE,2.283814370951376e-08
n_charged,0.12860833547635475,True,EEHEE,8.163981171796766e-08
hbond_lr_bb,0.1282848557580986,True,HHH,3.018684524569437e-09
H_min_entropy,0.12825297682350126,False,EEHEE,8.967667346017265e-08
hphob_sc_degree,0.12809501924513128,True,EHEE,3.064681242115341e-08
worstfrag,0.12787107783373652,True,EHEE,3.262871350884211e-08
